cart_dose,sp_value,response,t9,t12,t15,t18,t21,t_final_30
0.03,0.63631,NR,148.77089,259.0695,444.6063,743.81288,1194.3678,3259.798
0.03,0.64643,NR,148.51149,258.39379,443.09879,740.831,1189.1748,3249.6292
0.03,0.65655,NR,148.25191,257.71762,441.58889,737.84465,1183.9674,3239.3546
0.03,0.66667,NR,147.99231,257.04058,440.07778,734.85292,1178.7454,3228.9635
0.03,0.67679,NR,147.73271,256.36348,438.56576,731.85684,1173.5094,3218.4664
0.03,0.6869,NR,147.4728,255.68599,437.05169,728.8566,1168.2594,3207.8595
0.03,0.69702,NR,147.21272,255.0077,435.53628,725.85126,1162.9951,3197.1385
0.03,0.70714,NR,146.95261,254.32907,434.01993,722.84129,1157.7163,3186.2967
0.03,0.71726,NR,146.69261,253.65037,432.50238,719.82716,1152.4238,3175.34
0.03,0.72738,NR,146.43218,252.97108,430.98283,716.80844,1147.1165,3164.2648
0.03,0.7375,NR,146.17154,252.29113,429.46192,713.78491,1141.795,3153.0694
0.03,0.74762,NR,145.91079,251.61073,427.93981,710.75669,1136.459,3141.7512
0.03,0.75774,NR,145.64999,250.93,426.4166,707.72395,1131.1087,3130.3104
0.03,0.76786,NR,145.38915,250.24898,424.89221,704.68668,1125.7438,3118.7358
0.03,0.77798,NR,145.12813,249.56768,423.36614,701.64492,1120.3644,3107.0327
0.03,0.7881,NR,144.86683,248.88576,421.83855,698.5986,1114.9702,3095.1983
0.03,0.79821,NR,144.60533,248.20326,420.30946,695.54741,1109.561,3083.2303
0.03,0.80833,NR,144.34362,247.5202,418.77886,692.49118,1104.1367,3071.1258
0.03,0.81845,NR,144.08172,246.83658,417.24671,689.42985,1098.6969,3058.8821
0.03,0.82857,NR,143.8196,246.15239,415.71295,686.36333,1093.2414,3046.4964
0.03,0.83869,NR,143.55724,245.46755,414.17746,683.29142,1087.7699,3033.9657
0.03,0.84881,NR,143.29462,244.78203,412.64013,680.21393,1082.2819,3021.2867
0.03,0.85893,NR,143.03167,244.09571,411.10075,677.13054,1076.7769,3008.4561
0.03,0.86905,NR,142.76834,243.40849,409.55897,674.04089,1071.2543,2995.4702
0.03,0.87917,NR,142.50448,242.72021,408.01457,670.94452,1065.7133,2982.3247
0.03,0.88929,NR,142.24001,242.03064,406.46717,667.84074,1060.1528,2969.015
0.03,0.8994,NR,141.97484,241.33944,404.91632,664.72873,1054.5714,2955.5357
0.03,0.90952,NR,141.70877,240.64629,403.36132,661.60725,1048.9672,2941.88
0.03,0.91964,NR,141.44153,239.95064,401.80117,658.47458,1043.3373,2928.0394
0.03,0.92976,NR,141.17275,239.2517,400.23438,655.32816,1037.6776,2914.0029
0.03,0.93988,NR,140.9018,238.54819,398.65861,652.1639,1031.9816,2899.7541
0.03,0.95,NR,140.62765,237.838,397.06993,648.97507,1026.2385,2885.2681
0.04,0.1,PR,64.7915,48.8361,37.0581,28.1908,21.4676,9.5067
0.04,0.11012,PR,64.4134,48.4744,36.7683,27.9677,21.2973,9.4315
0.04,0.12024,PR,64.116,48.1691,36.5204,27.776,21.1509,9.3668
0.04,0.13036,PR,63.9102,47.9275,36.3197,27.62,21.0316,9.3141
0.04,0.14048,PR,63.8087,47.7583,36.1723,27.5042,20.9428,9.2748
0.04,0.1506,PR,63.827,47.6715,36.0858,27.4343,20.8888,9.2508
0.04,0.16071,PR,63.9839,47.6794,36.0688,27.4168,20.8745,9.2444
0.04,0.17083,PR,64.303,47.7974,36.1327,27.46,20.9063,9.2583
0.04,0.18095,PR,64.8143,48.0449,36.2913,27.5746,20.9922,9.296
0.04,0.19107,PR,65.5574,48.4471,36.5628,27.774,21.1424,9.3621
0.04,0.20119,PR,66.5846,49.0377,36.9713,28.0762,21.3706,9.4626
0.04,0.21131,PR,67.968,49.8622,37.5495,28.5057,21.6951,9.6054
0.04,0.22143,PR,69.809,50.9846,38.3428,29.0964,22.1418,9.8021
0.04,0.23155,PR,72.2547,52.4975,39.4171,29.8972,22.7475,10.0688
0.04,0.24167,PR,75.5269,54.5391,40.8698,30.9808,23.5671,10.4297
0.04,0.25179,PR,79.9665,57.3212,42.8495,32.4573,24.6839,10.9211
0.04,0.2619,PR,86.0757,61.1542,45.5709,34.4853,26.2172,11.5957
0.04,0.27202,PR,93.9402,66.0654,49.0349,37.061,28.1632,12.4512
0.04,0.28214,PR,99.8534,69.5765,51.4462,38.8394,29.5035,13.0397
0.04,0.29226,PR,103.7438,71.66903,52.81106,39.82958,30.24637,13.3653
0.04,0.30238,PR,107.1659,73.39321,53.88938,40.60084,30.82258,13.6174
0.04,0.3125,PR,110.6477,75.105,54.93375,41.34127,31.37432,13.8585
0.04,0.32262,PR,114.4508,76.98532,56.06769,42.14175,31.97004,14.1187
0.04,0.33274,PR,118.7595,79.17591,57.38306,43.06871,32.65949,14.4198
0.04,0.34286,PR,123.7207,81.8267,58.97241,44.18796,33.49175,14.7831
0.04,0.35298,PR,129.4233,85.12794,60.94918,45.57902,34.52584,15.2344
